Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Volume,Nsites,Density (gm/cc)
mp-19281,LaCrO3,Pnma,-3.197,0,2.371,245.738,20,6.457
mp-12449,LiPr2OsO6,P21/c,-2.804,0,0,253.511,20,7.532
mp-20570,HoCoO3,Pnma,-2.639,0,1.159,219.197,20,8.238
mp-6362,Sr2TbIrO6,P21/c,-2.774,0,0,284.546,20,7.264
mp-6254,Ba2TbNbO6,I4/m,-3.452,0,2.992,157.184,10,6.576
mp-18899,Nd2MnNiO6,P21/c,-2.78,0,1.513,236.203,20,7.004
mp-553281,Ba2LaNbO6,C2/m,-3.388,0,3.049,166.576,10,6.006
mp-1079893,BaTiSe3,P63/mmc,-1.77,0,0,266.545,10,5.259
mp-14551,Sr2CaUO6,P21/c,-3.576,0,2.211,312.879,20,5.831
mp-3187,BaCeO3,Pnma,-3.591,0,2.229,352.113,20,6.139
mp-6428,Ba2YRuO6,Fm3m,-2.835,0,106,151.041,10,6.163
mp-1209329,PrVO3,Pnma,-3.205,0,1.302,249.414,20,6.387
mp-1079169,Ba2NdIrO6,Fm3m,-2.694,0,0,158.598,10,7.404
mp-1070599,CsYbCl3,Pm3m,-2.701,0,5.385,159.725,5,4.286
mp-6183,Ba2PrRuO6,C2/m,-2.743,0,180,159.98,10,6.359
mp-12451,LiLa2OsO6,P21/c,-2.877,0,350,257.088,20,7.376
mp-1105402,Sr2DyMoO6,P21/c,-3.095,0,1.344,287.282,20,6.123
mp-557448,Ba2CaUO6,P21/c,-3.55,0,2.198,337.154,20,6.39
mp-559051,BaBiO3,P21/c,-2.233,0,77,345.397,20,7.583
mp-19802,TbCoO3,Pnma,-2.628,0,1.422,211.848,20,8.336
mp-6739,Ba2CaOsO6,Fm3m,-2.681,0,0,150.889,10,6.614
mp-18744,Sr2ErMoO6,P21/c,-3.114,0,1.282,284.61,20,6.236
mp-1079615,Ba2UCdO6,Fm3m,-3.11,0,1.884,167.781,10,7.137
mp-6167,Ba2NdNbO6,C2/m,-3.374,0,2.994,163.768,10,6.163
mp-1185576,CsYbI3,Pnma,-1.85,0,3.811,933.597,20,4.885
mp-12450,LiNd2OsO6,P21/c,-2.819,0,0,250.141,20,7.722
mp-22518,YbMnO3,Pnma,-2.703,0,1.104,210.34,20,8.715
